Categoria,Ano,Mês,Localidade,Valor Índice
Categoria Desconhecida,2019,02,Brasil,166.19376
Categoria Desconhecida,2019,03,Brasil,167.45888
Categoria Desconhecida,2019,04,Brasil,150.88761
Categoria Desconhecida,2019,05,Brasil,157.48048
Categoria Desconhecida,2019,06,Brasil,118.33309
Categoria Desconhecida,2019,07,Brasil,61.27805
Categoria Desconhecida,2019,08,Brasil,125.40706
Categoria Desconhecida,2019,09,Brasil,116.55124
Categoria Desconhecida,2019,10,Brasil,150.06796
Categoria Desconhecida,2019,11,Brasil,124.89032
Categoria Desconhecida,2019,12,Brasil,120.86333
Categoria Desconhecida,2020,01,Brasil,148.25046
Categoria Desconhecida,2020,02,Brasil,157.87249
Categoria Desconhecida,2020,03,Brasil,137.23859
Categoria Desconhecida,2020,04,Brasil,80.98538
Categoria Desconhecida,2020,05,Brasil,71.91573
Categoria Desconhecida,2020,06,Brasil,60.19111
Categoria Desconhecida,2020,07,Brasil,47.96758
Categoria Desconhecida,2020,08,Brasil,41.48162
Categoria Desconhecida,2020,09,Brasil,47.62903
Categoria Desconhecida,2020,10,Brasil,46.27481
Categoria Desconhecida,2020,11,Brasil,44.84933
Categoria Desconhecida,2020,12,Brasil,42.17654
Categoria Desconhecida,2021,01,Brasil,94.49185
Categoria Desconhecida,2021,02,Brasil,100.46107
Categoria Desconhecida,2021,03,Brasil,82.39305
Categoria Desconhecida,2021,04,Brasil,68.04266
Categoria Desconhecida,2021,05,Brasil,46.07644
Categoria Desconhecida,2021,06,Brasil,65.59612
Categoria Desconhecida,2021,07,Brasil,65.70135
Categoria Desconhecida,2021,08,Brasil,106.89787
Categoria Desconhecida,2021,09,Brasil,84.97112
Categoria Desconhecida,2021,10,Brasil,77.51313
Categoria Desconhecida,2021,11,Brasil,77.92088
Categoria Desconhecida,2021,12,Brasil,76.72392
Categoria Desconhecida,2022,01,Brasil,98.13337
Categoria Desconhecida,2022,02,Brasil,105.17901
Categoria Desconhecida,2022,03,Brasil,98.19886
Categoria Desconhecida,2022,04,Brasil,81.32998
Categoria Desconhecida,2022,05,Brasil,83.19659
Categoria Desconhecida,2022,06,Brasil,87.46137
Categoria Desconhecida,2022,07,Brasil,109.0955
Categoria Desconhecida,2022,08,Brasil,108.91095
Categoria Desconhecida,2022,09,Brasil,103.90653
Categoria Desconhecida,2022,10,Brasil,107.78808
Categoria Desconhecida,2022,11,Brasil,109.22105
Categoria Desconhecida,2022,12,Brasil,107.57871
Categoria Desconhecida,2023,01,Brasil,116.94762
Categoria Desconhecida,2023,02,Brasil,109.83265
Categoria Desconhecida,2023,03,Brasil,93.43301
Categoria Desconhecida,2023,04,Brasil,100.68295
Categoria Desconhecida,2023,05,Brasil,101.6676
Categoria Desconhecida,2023,06,Brasil,103.20175
Categoria Desconhecida,2023,07,Brasil,107.51061
Categoria Desconhecida,2023,08,Brasil,114.21979
Categoria Desconhecida,2023,09,Brasil,110.75726
Categoria Desconhecida,2023,10,Brasil,102.53798
Categoria Desconhecida,2023,11,Brasil,113.59806
Categoria Desconhecida,2023,12,Brasil,102.51078
Categoria Desconhecida,2024,01,Brasil,108.42978
Categoria Desconhecida,2024,02,Brasil,102.76869
Categoria Desconhecida,2024,03,Brasil,104.74248
Categoria Desconhecida,2024,04,Brasil,128.74413
Categoria Desconhecida,2024,05,Brasil,120.19287
Categoria Desconhecida,2024,06,Brasil,106.15266
Categoria Desconhecida,2024,07,Brasil,124.28145
Categoria Desconhecida,2024,08,Brasil,115.78347
Categoria Desconhecida,2024,09,Brasil,112.73902
Categoria Desconhecida,2019,01,Brasil,90.66532
Categoria Desconhecida,2019,02,Brasil,52.74978
Categoria Desconhecida,2019,03,Brasil,31.34639
Categoria Desconhecida,2019,04,Brasil,37.25533
Categoria Desconhecida,2019,05,Brasil,49.54778
Categoria Desconhecida,2019,06,Brasil,133.15212
Categoria Desconhecida,2019,07,Brasil,182.95337
Categoria Desconhecida,2019,08,Brasil,219.22704
Categoria Desconhecida,2019,09,Brasil,210.18167
Categoria Desconhecida,2019,10,Brasil,221.08066
Categoria Desconhecida,2019,11,Brasil,186.18176
Categoria Desconhecida,2019,12,Brasil,136.72039
Categoria Desconhecida,2020,01,Brasil,105.08529
Categoria Desconhecida,2020,02,Brasil,39.78526
Categoria Desconhecida,2020,03,Brasil,26.79447
Categoria Desconhecida,2020,04,Brasil,35.18811
Categoria Desconhecida,2020,05,Brasil,27.93801
Categoria Desconhecida,2020,06,Brasil,82.05689
Categoria Desconhecida,2020,07,Brasil,136.46311
Categoria Desconhecida,2020,08,Brasil,144.86951
Categoria Desconhecida,2020,09,Brasil,158.72172
Categoria Desconhecida,2020,10,Brasil,154.56842
Categoria Desconhecida,2020,11,Brasil,132.94177
Categoria Desconhecida,2020,12,Brasil,116.24535
Categoria Desconhecida,2021,01,Brasil,99.44198
Categoria Desconhecida,2021,02,Brasil,71.91176
Categoria Desconhecida,2021,03,Brasil,56.32669
Categoria Desconhecida,2021,04,Brasil,22.47453
Categoria Desconhecida,2021,05,Brasil,44.72803
Categoria Desconhecida,2021,06,Brasil,88.6435
Categoria Desconhecida,2021,07,Brasil,113.04213
Categoria Desconhecida,2021,08,Brasil,138.37695
Categoria Desconhecida,2021,09,Brasil,130.11994
Categoria Desconhecida,2021,10,Brasil,119.23542
Categoria Desconhecida,2021,11,Brasil,102.60434
Categoria Desconhecida,2021,12,Brasil,98.38497
Categoria Desconhecida,2022,01,Brasil,91.21732
Categoria Desconhecida,2022,02,Brasil,74.64963
Categoria Desconhecida,2022,03,Brasil,67.33142
Categoria Desconhecida,2022,04,Brasil,54.65406
Categoria Desconhecida,2022,05,Brasil,60.89251
Categoria Desconhecida,2022,06,Brasil,74.05232
Categoria Desconhecida,2022,07,Brasil,119.51412
Categoria Desconhecida,2022,08,Brasil,134.38079
Categoria Desconhecida,2022,09,Brasil,134.30975
Categoria Desconhecida,2022,10,Brasil,131.62331
Categoria Desconhecida,2022,11,Brasil,131.80393
Categoria Desconhecida,2022,12,Brasil,125.57086
Categoria Desconhecida,2023,01,Brasil,106.59236
Categoria Desconhecida,2023,02,Brasil,74.30853
Categoria Desconhecida,2023,03,Brasil,67.49603
Categoria Desconhecida,2023,04,Brasil,51.39526
Categoria Desconhecida,2023,05,Brasil,70.66396
Categoria Desconhecida,2023,06,Brasil,94.77809
Categoria Desconhecida,2023,07,Brasil,129.8868
Categoria Desconhecida,2023,08,Brasil,149.0355
Categoria Desconhecida,2023,09,Brasil,143.96073
Categoria Desconhecida,2023,10,Brasil,137.49116
Categoria Desconhecida,2023,11,Brasil,126.88813
Categoria Desconhecida,2023,12,Brasil,108.25766
Categoria Desconhecida,2024,01,Brasil,114.42678
Categoria Desconhecida,2024,02,Brasil,75.40287
Categoria Desconhecida,2024,03,Brasil,57.05657
Categoria Desconhecida,2024,04,Brasil,57.49111
Categoria Desconhecida,2024,05,Brasil,69.06304
Categoria Desconhecida,2024,06,Brasil,105.84169
Categoria Desconhecida,2024,07,Brasil,116.1552
Categoria Desconhecida,2024,08,Brasil,126.28015
Categoria Desconhecida,2024,09,Brasil,104.56243
Categoria Desconhecida,2019,01,Brasil,79.0395
Categoria Desconhecida,2019,02,Brasil,87.61989
Categoria Desconhecida,2019,03,Brasil,103.13558
Categoria Desconhecida,2019,04,Brasil,104.08623
Categoria Desconhecida,2019,05,Brasil,104.59943
Categoria Desconhecida,2019,06,Brasil,99.99706
Categoria Desconhecida,2019,07,Brasil,103.30703
Categoria Desconhecida,2019,08,Brasil,95.28865
Categoria Desconhecida,2019,09,Brasil,94.71536
Categoria Desconhecida,2019,10,Brasil,101.38727
Categoria Desconhecida,2019,11,Brasil,89.99595
Categoria Desconhecida,2019,12,Brasil,92.99976
