Categoria,Ano,Mês,Localidade,Valor Índice
 Telecomunicações,2023,12,Brasil,108.93834
 Telecomunicações,2024,01,Brasil,107.24257
 Telecomunicações,2024,02,Brasil,106.18297
 Telecomunicações,2024,03,Brasil,109.23027
 Telecomunicações,2024,04,Brasil,110.68936
 Telecomunicações,2024,05,Brasil,111.09139
 Telecomunicações,2024,06,Brasil,111.79831
 Telecomunicações,2024,07,Brasil,113.93419
 Telecomunicações,2024,08,Brasil,114.10895
 Telecomunicações,2024,09,Brasil,114.35348
 Telecomunicações,2020,10,Brasil,70.29404
 Telecomunicações,2020,11,Brasil,72.25814
 Telecomunicações,2020,12,Brasil,90.00482
 Telecomunicações,2021,01,Brasil,70.12539
 Telecomunicações,2021,02,Brasil,69.81439
 Telecomunicações,2021,03,Brasil,78.56593
 Telecomunicações,2021,04,Brasil,77.92896
 Telecomunicações,2021,05,Brasil,77.95916
 Telecomunicações,2021,06,Brasil,86.36244
 Telecomunicações,2021,07,Brasil,81.5036
 Telecomunicações,2021,08,Brasil,85.04759
 Telecomunicações,2021,09,Brasil,86.54135
 Telecomunicações,2021,10,Brasil,85.28637
 Telecomunicações,2021,11,Brasil,96.24218
 Telecomunicações,2021,12,Brasil,114.84851
 Telecomunicações,2022,01,Brasil,85.86619
 Telecomunicações,2022,02,Brasil,83.68642
 Telecomunicações,2022,03,Brasil,96.68017
 Telecomunicações,2022,04,Brasil,92.17404
 Telecomunicações,2022,05,Brasil,96.78822
 Telecomunicações,2022,06,Brasil,99.69579
 Telecomunicações,2022,07,Brasil,98.92318
 Telecomunicações,2022,08,Brasil,102.20545
 Telecomunicações,2022,09,Brasil,104.18223
 Telecomunicações,2022,10,Brasil,109.2695
 Telecomunicações,2022,11,Brasil,109.14818
 Telecomunicações,2022,12,Brasil,121.38063
 Telecomunicações,2023,01,Brasil,96.1447
 Telecomunicações,2023,02,Brasil,96.92211
 Telecomunicações,2023,03,Brasil,108.81112
 Telecomunicações,2023,04,Brasil,99.00871
 Telecomunicações,2023,05,Brasil,104.58594
 Telecomunicações,2023,06,Brasil,112.13922
 Telecomunicações,2023,07,Brasil,105.57032
 Telecomunicações,2023,08,Brasil,105.84444
 Telecomunicações,2023,09,Brasil,105.78719
 Telecomunicações,2023,10,Brasil,107.06856
 Telecomunicações,2023,11,Brasil,114.28682
 Telecomunicações,2023,12,Brasil,129.1507
 Telecomunicações,2024,01,Brasil,103.52128
 Telecomunicações,2024,02,Brasil,101.65249
 Telecomunicações,2024,03,Brasil,115.25614
 Telecomunicações,2024,04,Brasil,109.96556
 Telecomunicações,2024,05,Brasil,111.64971
 Telecomunicações,2024,06,Brasil,117.25629
 Telecomunicações,2024,07,Brasil,118.38416
 Telecomunicações,2024,08,Brasil,118.62906
 Telecomunicações,2024,09,Brasil,122.15588
 Serviços de Tecnologia da Informação,2020,10,Brasil,70.29404
 Serviços de Tecnologia da Informação,2020,11,Brasil,72.25814
 Serviços de Tecnologia da Informação,2020,12,Brasil,90.00482
 Serviços de Tecnologia da Informação,2021,01,Brasil,70.12539
 Serviços de Tecnologia da Informação,2021,02,Brasil,69.81439
 Serviços de Tecnologia da Informação,2021,03,Brasil,78.56593
 Serviços de Tecnologia da Informação,2021,04,Brasil,77.92896
 Serviços de Tecnologia da Informação,2021,05,Brasil,77.95916
 Serviços de Tecnologia da Informação,2021,06,Brasil,86.36244
 Serviços de Tecnologia da Informação,2021,07,Brasil,81.5036
 Serviços de Tecnologia da Informação,2021,08,Brasil,85.04759
 Serviços de Tecnologia da Informação,2021,09,Brasil,86.54135
 Serviços de Tecnologia da Informação,2021,10,Brasil,85.28637
 Serviços de Tecnologia da Informação,2021,11,Brasil,96.24218
 Serviços de Tecnologia da Informação,2021,12,Brasil,114.84851
 Serviços de Tecnologia da Informação,2022,01,Brasil,85.86619
 Serviços de Tecnologia da Informação,2022,02,Brasil,83.68642
 Serviços de Tecnologia da Informação,2022,03,Brasil,96.68017
 Serviços de Tecnologia da Informação,2022,04,Brasil,92.17404
 Serviços de Tecnologia da Informação,2022,05,Brasil,96.78822
 Serviços de Tecnologia da Informação,2022,06,Brasil,99.69579
 Serviços de Tecnologia da Informação,2022,07,Brasil,98.92318
 Serviços de Tecnologia da Informação,2022,08,Brasil,102.20545
 Serviços de Tecnologia da Informação,2022,09,Brasil,104.18223
 Serviços de Tecnologia da Informação,2022,10,Brasil,109.2695
 Serviços de Tecnologia da Informação,2022,11,Brasil,109.14818
 Serviços de Tecnologia da Informação,2022,12,Brasil,121.38063
 Serviços de Tecnologia da Informação,2023,01,Brasil,96.1447
 Serviços de Tecnologia da Informação,2023,02,Brasil,96.92211
 Serviços de Tecnologia da Informação,2023,03,Brasil,108.81112
 Serviços de Tecnologia da Informação,2023,04,Brasil,99.00871
 Serviços de Tecnologia da Informação,2023,05,Brasil,104.58594
 Serviços de Tecnologia da Informação,2023,06,Brasil,112.13922
